epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,44.9045,1.47808,1.87198,5.45074,0.00241,8.49773,0,0,0,0,0,0,0,0,1.09749,1.51119,5.41896,0.00272,0,2.96545e-05,2.96545e-05,2.96545e-05
49,45.6999,1.63754,1.98948,5.4907,0.00241,8.50564,0,0,0,0,0,0,0,0,1.09215,1.48135,5.40875,0.00269,0,2.97247e-05,2.97247e-05,2.97247e-05
50,46.5025,1.35383,1.68841,5.42297,0.00215,8.48067,0,0,0,0,0,0,0,0,1.09215,1.48135,5.40875,0.00269,0,2.97715e-05,2.97715e-05,2.97715e-05
51,47.3806,1.21295,1.53643,5.37988,0.0024,8.47211,0,0,0,0,0,0,0,0,1.07697,1.45506,5.3994,0.00262,0,2.9795e-05,2.9795e-05,2.9795e-05
52,48.1394,1.49224,1.65139,5.43507,0.00226,8.45859,0,0,0,0,0,0,0,0,1.07697,1.45506,5.3994,0.00262,0,2.97951e-05,2.97951e-05,2.97951e-05
53,48.9314,1.44381,1.88489,5.40868,0.0023,8.4637,0,0,0,0,0,0,0,0,1.07697,1.45506,5.3994,0.00262,0,2.97719e-05,2.97719e-05,2.97719e-05
54,49.71,1.31964,1.544,5.39778,0.00229,8.45025,0,0,0,0,0,0,0,0,1.06078,1.42715,5.39871,0.00257,0,2.97253e-05,2.97253e-05,2.97253e-05
55,50.4848,1.29544,1.69329,5.38331,0.00219,8.46396,0,0,0,0,0,0,0,0,1.06078,1.42715,5.39871,0.00257,0,2.96553e-05,2.96553e-05,2.96553e-05
56,51.3386,1.45387,1.90926,5.41097,0.00237,8.41557,0,0,0,0,0,0,0,0,1.06078,1.42715,5.39871,0.00257,0,2.95619e-05,2.95619e-05,2.95619e-05
57,52.1051,1.38172,1.85087,5.35406,0.00223,8.40413,0,0,0,0,0,0,0,0,1.05203,1.41981,5.39059,0.00253,0,2.94452e-05,2.94452e-05,2.94452e-05
58,52.8261,1.1056,1.55286,5.29802,0.0023,8.40523,0,0,0,0,0,0,0,0,1.05203,1.41981,5.39059,0.00253,0,2.93052e-05,2.93052e-05,2.93052e-05
59,53.6092,1.49404,1.88053,5.38614,0.00237,8.39389,0,0,0,0,0,0,0,0,1.05203,1.41981,5.39059,0.00253,0,2.91418e-05,2.91418e-05,2.91418e-05
60,54.3797,1.32462,1.73564,5.34121,0.00238,8.40178,0,0,0,0,0,0,0,0,1.05032,1.38652,5.3752,0.00252,0,2.8955e-05,2.8955e-05,2.8955e-05
61,55.2139,1.09029,1.36083,5.32353,0.00231,8.36738,0,0,0,0,0,0,0,0,1.05032,1.38652,5.3752,0.00252,0,2.87448e-05,2.87448e-05,2.87448e-05
62,55.9481,1.39588,1.74627,5.35082,0.00237,8.38002,0,0,0,0,0,0,0,0,1.05032,1.38652,5.3752,0.00252,0,2.85113e-05,2.85113e-05,2.85113e-05
63,56.7742,1.2441,1.50025,5.31764,0.00222,8.36357,0,0,0,0,0,0,0,0,1.05277,1.36603,5.34571,0.00252,0,2.82544e-05,2.82544e-05,2.82544e-05
64,57.5498,1.36374,1.67061,5.34918,0.00211,8.35971,0,0,0,0,0,0,0,0,1.05277,1.36603,5.34571,0.00252,0,2.79741e-05,2.79741e-05,2.79741e-05
65,58.2748,1.36479,1.74007,5.34011,0.00224,8.35023,0,0,0,0,0,0,0,0,1.05277,1.36603,5.34571,0.00252,0,2.76705e-05,2.76705e-05,2.76705e-05
66,59.1316,1.1501,1.63283,5.27945,0.00207,8.37423,0,0,0,0,0,0,0,0,1.03782,1.3417,5.34611,0.00244,0,2.73435e-05,2.73435e-05,2.73435e-05
67,59.8942,1.2026,1.41489,5.29221,0.00213,8.35031,0,0,0,0,0,0,0,0,1.03782,1.3417,5.34611,0.00244,0,2.69932e-05,2.69932e-05,2.69932e-05
68,60.6646,1.26286,1.68508,5.32318,0.00214,8.32353,0,0,0,0,0,0,0,0,1.03782,1.3417,5.34611,0.00244,0,2.66195e-05,2.66195e-05,2.66195e-05
69,61.4791,1.25632,1.61748,5.27965,0.00219,8.32403,0,0,0,0,0,0,0,0,1.05364,1.33234,5.30941,0.00254,0,2.62224e-05,2.62224e-05,2.62224e-05
70,62.2258,1.3301,1.75369,5.27591,0.00215,8.33651,0,0,0,0,0,0,0,0,1.05364,1.33234,5.30941,0.00254,0,2.5802e-05,2.5802e-05,2.5802e-05
