epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,45.7705,1.10614,1.06218,1.3782,0.00169,1.2054,0.07667,0.88462,0.2414,0.10231,0.07733,0.89231,0.33265,0.14842,0.907,1.02263,2.63954,0.0024,0,0.000504602,0.000504602,0.000504602
51,46.4848,1.06842,0.99426,1.52964,0.00203,1.18679,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000505,0.000505,0.000505
52,47.2541,1.18657,1.14777,1.42678,0.00168,1.24949,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000505002,0.000505002,0.000505002
53,48.0749,1.15839,1.13963,1.35222,0.00167,1.17653,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000504608,0.000504608,0.000504608
54,48.9863,1.05769,0.97511,1.36516,0.00177,1.11109,0.07733,0.89231,0.63581,0.40481,0.078,0.9,0.64699,0.41155,0.87438,1.00742,2.43357,0.00223,0,0.000503818,0.000503818,0.000503818
55,49.8419,1.08343,1.09693,1.31991,0.0018,0.94754,0.07733,0.89231,0.63581,0.40481,0.078,0.9,0.64699,0.41155,0.87438,1.00742,2.43357,0.00223,0,0.000502632,0.000502632,0.000502632
56,50.6208,1.22336,1.12846,1.41943,0.00184,1.03242,0.07733,0.89231,0.63581,0.40481,0.078,0.9,0.64699,0.41155,0.87438,1.00742,2.43357,0.00223,0,0.00050105,0.00050105,0.00050105
57,51.4066,1.13029,1.08677,1.35565,0.00173,0.99431,0.08067,0.93077,0.74881,0.51879,0.08067,0.93077,0.7472,0.45868,0.85559,0.94911,2.30774,0.00218,0,0.000499072,0.000499072,0.000499072
58,52.1384,0.94235,0.93254,1.42792,0.00184,0.88493,0.08067,0.93077,0.74881,0.51879,0.08067,0.93077,0.7472,0.45868,0.85559,0.94911,2.30774,0.00218,0,0.000496698,0.000496698,0.000496698
59,52.9114,1.25535,1.24694,1.38962,0.00186,0.99317,0.08067,0.93077,0.74881,0.51879,0.08067,0.93077,0.7472,0.45868,0.85559,0.94911,2.30774,0.00218,0,0.000493928,0.000493928,0.000493928
60,53.7424,1.10743,1.12254,1.51137,0.00188,0.98438,0.08333,0.96154,0.76569,0.53299,0.082,0.94615,0.75132,0.47812,0.89077,0.9286,2.20868,0.00229,0,0.000490762,0.000490762,0.000490762
61,54.561,0.92762,0.86129,1.56736,0.00184,0.80496,0.08333,0.96154,0.76569,0.53299,0.082,0.94615,0.75132,0.47812,0.89077,0.9286,2.20868,0.00229,0,0.0004872,0.0004872,0.0004872
62,55.3394,1.11328,1.10887,1.38822,0.00176,0.88939,0.08333,0.96154,0.76569,0.53299,0.082,0.94615,0.75132,0.47812,0.89077,0.9286,2.20868,0.00229,0,0.000483242,0.000483242,0.000483242
63,56.2075,1.01561,0.94608,1.35243,0.00173,0.85099,0.08467,0.97692,0.76241,0.53413,0.084,0.96923,0.75466,0.51572,0.93829,0.92096,2.1145,0.00245,0,0.000478888,0.000478888,0.000478888
64,56.9475,1.10465,1.07309,1.3564,0.00157,0.97946,0.08467,0.97692,0.76241,0.53413,0.084,0.96923,0.75466,0.51572,0.93829,0.92096,2.1145,0.00245,0,0.000474138,0.000474138,0.000474138
65,57.7611,1.13537,1.11292,1.32203,0.00176,0.85679,0.08467,0.97692,0.76241,0.53413,0.084,0.96923,0.75466,0.51572,0.93829,0.92096,2.1145,0.00245,0,0.000468992,0.000468992,0.000468992
66,58.5638,0.96887,1.16809,1.38836,0.00168,0.79462,0.086,0.99231,0.77144,0.55118,0.08533,0.98462,0.76211,0.50719,0.92889,0.92897,2.05375,0.00248,0,0.00046345,0.00046345,0.00046345
67,59.4131,0.9677,0.87517,1.26696,0.00164,0.75203,0.086,0.99231,0.77144,0.55118,0.08533,0.98462,0.76211,0.50719,0.92889,0.92897,2.05375,0.00248,0,0.000457512,0.000457512,0.000457512
68,60.193,1.08272,1.01325,1.25099,0.00173,0.81911,0.086,0.99231,0.77144,0.55118,0.08533,0.98462,0.76211,0.50719,0.92889,0.92897,2.05375,0.00248,0,0.000451178,0.000451178,0.000451178
69,61.0097,1.10253,1.0939,1.42118,0.00191,0.79182,0.34522,0.97692,0.78112,0.57931,0.3425,0.96923,0.77041,0.4942,0.86598,0.93042,2.00915,0.00217,0,0.000444448,0.000444448,0.000444448
70,61.7791,1.09165,1.11515,1.238,0.00164,0.75156,0.34522,0.97692,0.78112,0.57931,0.3425,0.96923,0.77041,0.4942,0.86598,0.93042,2.00915,0.00217,0,0.000437322,0.000437322,0.000437322
71,62.5551,1.10341,1.11369,1.2841,0.00161,0.73725,0.34522,0.97692,0.78112,0.57931,0.3425,0.96923,0.77041,0.4942,0.86598,0.93042,2.00915,0.00217,0,0.0004298,0.0004298,0.0004298
72,63.4285,1.00746,1.04727,1.17893,0.00158,0.74353,0.71472,0.73846,0.7981,0.59974,0.69983,0.72308,0.77789,0.481,0.84106,0.9234,1.95918,0.00202,0,0.000421882,0.000421882,0.000421882
73,64.2654,0.8951,0.86928,1.25837,0.00169,0.6529,0.71472,0.73846,0.7981,0.59974,0.69983,0.72308,0.77789,0.481,0.84106,0.9234,1.95918,0.00202,0,0.000413568,0.000413568,0.000413568
74,65.0666,1.06443,0.97864,1.18501,0.00162,0.71728,0.71472,0.73846,0.7981,0.59974,0.69983,0.72308,0.77789,0.481,0.84106,0.9234,1.95918,0.00202,0,0.000404858,0.000404858,0.000404858
75,65.8807,1.07182,0.92732,1.17886,0.00164,0.73843,0.82231,0.56959,0.81017,0.61296,0.8218,0.56923,0.79217,0.49151,0.82056,0.92784,1.90693,0.00195,0,0.000395752,0.000395752,0.000395752
76,66.6665,1.08295,1.05474,1.1755,0.00152,0.73386,0.82231,0.56959,0.81017,0.61296,0.8218,0.56923,0.79217,0.49151,0.82056,0.92784,1.90693,0.00195,0,0.00038625,0.00038625,0.00038625
77,67.4925,0.96727,0.93239,1.17619,0.00167,0.66009,0.82231,0.56959,0.81017,0.61296,0.8218,0.56923,0.79217,0.49151,0.82056,0.92784,1.90693,0.00195,0,0.000376352,0.000376352,0.000376352
78,68.2888,1.12735,1.02206,1.20679,0.00168,0.71756,0.86341,0.5349,0.81921,0.61717,0.86341,0.5349,0.80212,0.50594,0.83892,0.92605,1.85372,0.00211,0,0.000366058,0.000366058,0.000366058
79,69.0928,1.12053,1.03864,1.16069,0.00164,0.67443,0.86341,0.5349,0.81921,0.61717,0.86341,0.5349,0.80212,0.50594,0.83892,0.92605,1.85372,0.00211,0,0.000355368,0.000355368,0.000355368
80,69.8852,1.03011,0.92726,1.16481,0.00165,0.73554,0.86341,0.5349,0.81921,0.61717,0.86341,0.5349,0.80212,0.50594,0.83892,0.92605,1.85372,0.00211,0,0.000344282,0.000344282,0.000344282
81,70.7061,0.96715,1.00522,1.35772,0.00184,0.67253,0.87695,0.32894,0.83584,0.62693,0.86777,0.30292,0.80045,0.48921,0.82728,0.88814,1.81352,0.00213,0,0.0003328,0.0003328,0.0003328
82,71.3792,1.10727,0.99676,1.15052,0.00153,0.70197,0.87695,0.32894,0.83584,0.62693,0.86777,0.30292,0.80045,0.48921,0.82728,0.88814,1.81352,0.00213,0,0.000320922,0.000320922,0.000320922
83,72.0761,0.99145,0.91616,1.17813,0.00164,0.63978,0.87695,0.32894,0.83584,0.62693,0.86777,0.30292,0.80045,0.48921,0.82728,0.88814,1.81352,0.00213,0,0.000308648,0.000308648,0.000308648
84,72.837,1.05917,0.94955,1.11706,0.00158,0.66675,0.88786,0.30456,0.83952,0.63805,0.88786,0.30456,0.80571,0.46224,0.81523,0.87013,1.7552,0.00208,0,0.000295978,0.000295978,0.000295978
85,73.5398,1.05185,0.95344,1.13995,0.00158,0.64416,0.88786,0.30456,0.83952,0.63805,0.88786,0.30456,0.80571,0.46224,0.81523,0.87013,1.7552,0.00208,0,0.000282912,0.000282912,0.000282912
86,74.2756,1.03106,0.90103,1.13841,0.0015,0.6702,0.88786,0.30456,0.83952,0.63805,0.88786,0.30456,0.80571,0.46224,0.81523,0.87013,1.7552,0.00208,0,0.00026945,0.00026945,0.00026945
87,75.0252,0.97476,0.83876,1.11814,0.00157,0.60829,0.88786,0.30456,0.83952,0.63805,0.88786,0.30456,0.80571,0.46224,0.81523,0.87013,1.7552,0.00208,0,0.000255592,0.000255592,0.000255592
88,75.7873,1.00219,0.84879,1.10095,0.00154,0.60287,0.89931,0.41225,0.83942,0.63995,0.89931,0.41225,0.80678,0.46547,0.81271,0.82488,1.68234,0.00198,0,0.000241338,0.000241338,0.000241338
89,76.5353,1.01068,1.02162,1.17931,0.00165,0.5882,0.89931,0.41225,0.83942,0.63995,0.89931,0.41225,0.80678,0.46547,0.81271,0.82488,1.68234,0.00198,0,0.000226688,0.000226688,0.000226688
90,77.3602,1.0464,0.92891,1.11483,0.00152,0.64797,0.89931,0.41225,0.83942,0.63995,0.89931,0.41225,0.80678,0.46547,0.81271,0.82488,1.68234,0.00198,0,0.000211642,0.000211642,0.000211642
91,78.8517,0.91505,0.82688,1.2375,0.00176,0.64347,0.89931,0.41225,0.83942,0.63995,0.89931,0.41225,0.80678,0.46547,0.81271,0.82488,1.68234,0.00198,0,0.0001962,0.0001962,0.0001962
92,79.6429,0.96763,0.92041,1.27797,0.00188,0.7981,0.88905,0.55473,0.84158,0.64055,0.87672,0.54704,0.81818,0.46753,0.80205,0.80393,1.60736,0.00188,0,0.000180362,0.000180362,0.000180362
93,80.5,1.10433,1.15186,1.28547,0.0018,0.95338,0.88905,0.55473,0.84158,0.64055,0.87672,0.54704,0.81818,0.46753,0.80205,0.80393,1.60736,0.00188,0,0.000164128,0.000164128,0.000164128
94,81.2796,0.88434,0.97051,1.23259,0.00177,0.62529,0.88905,0.55473,0.84158,0.64055,0.87672,0.54704,0.81818,0.46753,0.80205,0.80393,1.60736,0.00188,0,0.000147498,0.000147498,0.000147498
95,82.0035,1.02683,1.22726,1.33101,0.00172,0.89732,0.88905,0.55473,0.84158,0.64055,0.87672,0.54704,0.81818,0.46753,0.80205,0.80393,1.60736,0.00188,0,0.000130472,0.000130472,0.000130472
96,82.6963,0.92115,0.9021,1.31447,0.00168,0.69502,0.85453,0.63264,0.84559,0.6454,0.82967,0.59231,0.82252,0.46964,0.79702,0.80003,1.53258,0.0019,0,0.00011305,0.00011305,0.00011305
97,83.3594,1.13587,1.14205,1.34458,0.00182,1.01725,0.85453,0.63264,0.84559,0.6454,0.82967,0.59231,0.82252,0.46964,0.79702,0.80003,1.53258,0.0019,0,9.5232e-05,9.5232e-05,9.5232e-05
98,83.9971,1.08281,0.9075,1.31633,0.00184,0.90644,0.85453,0.63264,0.84559,0.6454,0.82967,0.59231,0.82252,0.46964,0.79702,0.80003,1.53258,0.0019,0,7.7018e-05,7.7018e-05,7.7018e-05
99,84.6356,0.97635,0.98657,1.27969,0.00172,0.80218,0.85453,0.63264,0.84559,0.6454,0.82967,0.59231,0.82252,0.46964,0.79702,0.80003,1.53258,0.0019,0,5.8408e-05,5.8408e-05,5.8408e-05
100,85.3016,0.90537,0.88694,1.24448,0.00159,0.70849,0.82209,0.65385,0.84185,0.63947,0.79904,0.63077,0.82402,0.47051,0.81102,0.80722,1.45892,0.00193,0,3.9402e-05,3.9402e-05,3.9402e-05
